## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT father.rg.bam --OUTPUT father.rg.md.bam --METRICS_FILE marked_dup_metrics_father.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jan 25 15:17:36 UTC 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib2	284	26601	161	284	51	3293	1659	0.124089	181954

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.061778	20461	0	21818
2.0	1.979141	2461	1418	1355
3.0	2.771731	335	106	126
4.0	3.456521	44	8	9
5.0	4.04817	5	0	0
6.0	4.559348	2	1	0
7.0	5.001	0	0	0
8.0	5.382582	0	0	0
9.0	5.712264	0	0	0
10.0	5.997106	0	0	0
11.0	6.243206	0	0	0
12.0	6.455833	0	0	0
13.0	6.63954	0	0	0
14.0	6.798261	0	0	0
15.0	6.935394	0	0	0
16.0	7.053876	0	0	0
17.0	7.156242	0	0	0
18.0	7.244685	0	0	0
19.0	7.321099	0	0	0
20.0	7.38712	0	0	0
21.0	7.444162	0	0	0
22.0	7.493444	0	0	0
23.0	7.536024	0	0	0
24.0	7.572813	0	0	0
25.0	7.604598	0	0	0
26.0	7.632059	0	0	0
27.0	7.655786	0	0	0
28.0	7.676285	0	0	0
29.0	7.693997	0	0	0
30.0	7.709299	0	0	0
31.0	7.72252	0	0	0
32.0	7.733943	0	0	0
33.0	7.743812	0	0	0
34.0	7.752339	0	0	0
35.0	7.759706	0	0	0
36.0	7.766071	0	0	0
37.0	7.771571	0	0	0
38.0	7.776322	0	0	0
39.0	7.780427	0	0	0
40.0	7.783974	0	0	0
41.0	7.787038	0	0	0
42.0	7.789686	0	0	0
43.0	7.791973	0	0	0
44.0	7.79395	0	0	0
45.0	7.795657	0	0	0
46.0	7.797133	0	0	0
47.0	7.798407	0	0	0
48.0	7.799509	0	0	0
49.0	7.80046	0	0	0
50.0	7.801282	0	0	0
51.0	7.801992	0	0	0
52.0	7.802606	0	0	0
53.0	7.803136	0	0	0
54.0	7.803594	0	0	0
55.0	7.80399	0	0	0
56.0	7.804332	0	0	0
57.0	7.804627	0	0	0
58.0	7.804883	0	0	0
59.0	7.805103	0	0	0
60.0	7.805294	0	0	0
61.0	7.805458	0	0	0
62.0	7.805601	0	0	0
63.0	7.805724	0	0	0
64.0	7.80583	0	0	0
65.0	7.805921	0	0	0
66.0	7.806001	0	0	0
67.0	7.806069	0	0	0
68.0	7.806128	0	0	0
69.0	7.806179	0	0	0
70.0	7.806224	0	0	0
71.0	7.806262	0	0	0
72.0	7.806295	0	0	0
73.0	7.806323	0	0	0
74.0	7.806348	0	0	0
75.0	7.806369	0	0	0
76.0	7.806388	0	0	0
77.0	7.806403	0	0	0
78.0	7.806417	0	0	0
79.0	7.806429	0	0	0
80.0	7.806439	0	0	0
81.0	7.806448	0	0	0
82.0	7.806456	0	0	0
83.0	7.806462	0	0	0
84.0	7.806468	0	0	0
85.0	7.806473	0	0	0
86.0	7.806477	0	0	0
87.0	7.806481	0	0	0
88.0	7.806484	0	0	0
89.0	7.806487	0	0	0
90.0	7.806489	0	0	0
91.0	7.806491	0	0	0
92.0	7.806493	0	0	0
93.0	7.806494	0	0	0
94.0	7.806496	0	0	0
95.0	7.806497	0	0	0
96.0	7.806498	0	0	0
97.0	7.806499	0	0	0
98.0	7.8065	0	0	0
99.0	7.8065	0	0	0
100.0	7.806501	0	0	0

