## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT son.rg.bam --OUTPUT son.rg.md.bam --METRICS_FILE marked_dup_metrics_son.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jan 25 15:17:39 UTC 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib3	312	26780	123	312	60	3489	1609	0.130643	160005

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.05873	20268	0	21554
2.0	1.954296	2625	1371	1603
3.0	2.711844	337	102	126
4.0	3.352643	55	10	7
5.0	3.894687	5	1	1
6.0	4.353194	1	0	0
7.0	4.74104	0	0	0
8.0	5.069113	0	0	0
9.0	5.346626	0	0	0
10.0	5.58137	0	0	0
11.0	5.779938	0	0	0
12.0	5.947903	0	0	0
13.0	6.089983	0	0	0
14.0	6.210166	0	0	0
15.0	6.311828	0	0	0
16.0	6.397822	0	0	0
17.0	6.470563	0	0	0
18.0	6.532094	0	0	0
19.0	6.584142	0	0	0
20.0	6.628169	0	0	0
21.0	6.665411	0	0	0
22.0	6.696913	0	0	0
23.0	6.723561	0	0	0
24.0	6.746101	0	0	0
25.0	6.765168	0	0	0
26.0	6.781296	0	0	0
27.0	6.794939	0	0	0
28.0	6.80648	0	0	0
29.0	6.816241	0	0	0
30.0	6.824499	0	0	0
31.0	6.831483	0	0	0
32.0	6.837392	0	0	0
33.0	6.842389	0	0	0
34.0	6.846617	0	0	0
35.0	6.850193	0	0	0
36.0	6.853218	0	0	0
37.0	6.855777	0	0	0
38.0	6.857941	0	0	0
39.0	6.859772	0	0	0
40.0	6.861321	0	0	0
41.0	6.862631	0	0	0
42.0	6.863739	0	0	0
43.0	6.864676	0	0	0
44.0	6.865469	0	0	0
45.0	6.86614	0	0	0
46.0	6.866707	0	0	0
47.0	6.867187	0	0	0
48.0	6.867593	0	0	0
49.0	6.867936	0	0	0
50.0	6.868227	0	0	0
51.0	6.868472	0	0	0
52.0	6.86868	0	0	0
53.0	6.868856	0	0	0
54.0	6.869005	0	0	0
55.0	6.869131	0	0	0
56.0	6.869237	0	0	0
57.0	6.869327	0	0	0
58.0	6.869403	0	0	0
59.0	6.869467	0	0	0
60.0	6.869522	0	0	0
61.0	6.869568	0	0	0
62.0	6.869607	0	0	0
63.0	6.86964	0	0	0
64.0	6.869668	0	0	0
65.0	6.869691	0	0	0
66.0	6.869711	0	0	0
67.0	6.869728	0	0	0
68.0	6.869743	0	0	0
69.0	6.869755	0	0	0
70.0	6.869765	0	0	0
71.0	6.869774	0	0	0
72.0	6.869781	0	0	0
73.0	6.869787	0	0	0
74.0	6.869792	0	0	0
75.0	6.869797	0	0	0
76.0	6.8698	0	0	0
77.0	6.869804	0	0	0
78.0	6.869806	0	0	0
79.0	6.869809	0	0	0
80.0	6.86981	0	0	0
81.0	6.869812	0	0	0
82.0	6.869813	0	0	0
83.0	6.869815	0	0	0
84.0	6.869816	0	0	0
85.0	6.869816	0	0	0
86.0	6.869817	0	0	0
87.0	6.869818	0	0	0
88.0	6.869818	0	0	0
89.0	6.869819	0	0	0
90.0	6.869819	0	0	0
91.0	6.869819	0	0	0
92.0	6.86982	0	0	0
93.0	6.86982	0	0	0
94.0	6.86982	0	0	0
95.0	6.86982	0	0	0
96.0	6.86982	0	0	0
97.0	6.86982	0	0	0
98.0	6.86982	0	0	0
99.0	6.869821	0	0	0
100.0	6.869821	0	0	0

