# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AL109754.1	ENSG00000276525	ENST00000614195	misc_RNA	0	0	77	0	0	0	38	0	0	1	0	0	38
AL354824.1	ENSG00000230506	ENST00000424931		0	0	51	0	0	0	8	35	0	2	0	0	6
AL354824.1	ENSG00000230506	ENST00000662058		0	0	60	0	0	0	9	40	0	3	0	0	8
AL354824.2	ENSG00000232448	ENST00000458004		0	0	21	0	0	0	8	5	0	1	0	0	7
AL354824.2	ENSG00000232448	ENST00000666915		0	0	36	0	0	0	8	19	0	1	0	0	8
ANKEF1	ENSG00000132623	ENST00000378380	protein_coding	2	1	80	6	0	1	14	32	1	0	0	2	27
ANKEF1	ENSG00000132623	ENST00000378392	protein_coding	3	1	80	6	1	2	14	32	1	0	0	2	26
ANKEF1	ENSG00000132623	ENST00000437504	processed_transcript	0	0	129	0	0	0	10	119	0	0	0	0	0
ANKEF1	ENSG00000132623	ENST00000488991	processed_transcript	0	0	75	0	0	0	12	32	0	3	0	0	28
SNAP25	ENSG00000132639	ENST00000254976	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	9
SNAP25	ENSG00000132639	ENST00000304886	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	9
SNAP25	ENSG00000132639	ENST00000430336	protein_coding	0	0	8	0	0	0	0	0	0	0	0	0	8
SNAP25-AS1	ENSG00000227906	ENST00000421143		0	0	560	0	0	0	35	522	0	3	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000426491		0	0	402	0	0	0	8	394	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000438646		1	0	108	0	0	0	39	60	0	3	1	0	7
SNAP25-AS1	ENSG00000227906	ENST00000451151		0	0	340	0	0	0	14	326	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000453544		0	0	337	0	0	0	11	326	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000603245		0	0	91	0	0	0	24	29	0	1	0	0	37
SNAP25-AS1	ENSG00000227906	ENST00000603542		1	0	575	0	0	0	35	525	0	16	1	0	0
SNAP25-AS1	ENSG00000227906	ENST00000605592		0	0	340	0	0	0	14	326	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000655307		0	0	572	0	0	0	39	522	0	11	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000656496		0	0	566	0	0	0	39	522	0	5	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000658443		1	0	575	0	0	0	35	525	0	16	1	0	0
SNAP25-AS1	ENSG00000227906	ENST00000658520		0	0	87	0	0	0	0	50	0	0	0	0	37
SNAP25-AS1	ENSG00000227906	ENST00000660550		1	0	571	0	0	0	39	525	0	8	1	0	0
SNAP25-AS1	ENSG00000227906	ENST00000661134		1	0	105	0	0	0	39	3	0	32	1	0	32
SNAP25-AS1	ENSG00000227906	ENST00000661614		1	0	575	0	0	0	24	525	0	27	1	0	0
SNAP25-AS1	ENSG00000227906	ENST00000662559		0	0	576	0	0	0	37	522	0	17	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000663466		1	0	575	0	0	0	24	525	0	27	1	0	0
SNAP25-AS1	ENSG00000227906	ENST00000664172		1	0	575	0	0	0	35	525	0	16	1	0	0
SNAP25-AS1	ENSG00000227906	ENST00000666905		2	0	574	0	0	0	35	525	0	16	2	0	0
SNAP25-AS1	ENSG00000227906	ENST00000667042		0	0	572	0	0	0	39	522	0	11	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000670580		2	0	574	0	0	0	24	525	0	27	2	0	0
SNAP25-AS1	ENSG00000227906	ENST00000671416		0	0	113	0	0	0	41	57	0	8	0	0	7
SNAP25-AS1	ENSG00000227906	ENST00000671453		0	0	340	0	0	0	14	326	0	0	0	0	0
